date,author,text,favorite
5/17/2009,QuattroGuy,"Our first experience with Audi came after my wife turned a triple 360 on a slick road in an Acura TL. For our next car purchase safety and engineering were at the top of the requirements list. After a 2002 A6, 2002 TT Roadster, and 2007 A4, we took possession of a 2009 A4 2.0T Quattro with Premier Plus option package. The improvements in the 2009 A4 are impressive and reflect Audi's continued excellence in engineering. This model, with it's increased length and width, adjustments to the engine mounts to reduce the vibration in the 2.0 four cylinder engine, and the tweaks to the acceleration off the line make us feel like we're back in our A6. Roomy, feature rich, rides on rails.","Quattro 60/40 adjustment, suspension, 3 zoned heating/cooling, trunk size and bag holders, folding back seats, foot and head room in back seat, sculpted body styling with lower wider nose, MMI for MP3s on SD card, seamless voice activated bluetooth, iPhone interface and of course, the LEDs. "
5/10/2009,Endophil,"I previously owned an 06 A4 with all bells and whistles in it and I loved the car. When it was up I got an 09 stick premium plus model with sport package and nav, and the car is amazing. The sport suspension really gives the car that sporty feel and the summer tires make the car hug the road and handle amazing. This car also has more low end torque which works really well when getting onto highways. The 2006 model was more sporty, but with the sport package it makes this car a great mix of sport and luxury.","Engine, the day time running LEDs turn heads, love the Ipod integration, but if you get nav it deletes the car's SD card slot, Sport seats, ride, MMI is more user friendly this time around."
5/4/2009,NewEnglander,"I purchased this car for the winter weather performance, blend of fuel efficiency and power, stunning appearance, and advanced safety and technology features. Those the car achieves these easily. Living with the car for a while, I would love to give it back. The primary drawback of the vehicle is the very rough ride over 50 MPH. The vehicle seems to transmit every nuance of the road surface into the cabin, the seats, and the floor. The suspension is just far, far too firm. Riding on rougher roads is continuously distracting, with tiny road imperfections intruding into an otherwise palatial experience. I urge anyone considering this vehicle to do an extended test drive. I wish I had.",iPod integration. Modern interior styling. Voice recognition dialing. Mandatory cigarette lighter. One lb key fob. 
5/3/2009,KittyKat,Great car to drive. Comfortable ride. I went from the 08 to the 09 and it definitely feels better although Audi could have kept the full size spare tire and the regular cup holder. Minor things when compared to such huge improvements. ,"LED lights, heated seats"
5/3/2009,Mikey,"If you're the type of driver that wants to look forward to getting in your car, this Audi fits the bill. Our A4 does not have the sport package so the steering and suspension is not as stiff responsive as let's say an S- line Audi, but the ride is a smooth as can be (which my wife prefers). This car is a real standout in the rain, extremely stable which I attribute to the Quattro. Haven't driven it in the snow yet, but I imagine it will perform well. The seats are comfortable and the steering wheel feels great on your hands. Plenty of trunk space. The bluetooth telephone is seamless, hop in the car and the car takes the call. iPod attachment works great as well. Daytime running lights.","Stylish car. Comfortable seating. Steering wheel with great feel. 29-30 mpg hwy 25-26 cmb, great for this car segment. Handling is amazing in general and a standout in bad weather. Seamless Bluetooth. Spacious. Great sound system. Center console easy. Steering well control and voice command work"
5/3/2009,Steve,"This is my 2nd Audi to replace my 2002 A6 2.7T. I like the look of the A4 so chose the Avant version for practical reasons. I must say that it's such a joy to drive this car everyday that the commute to and from work seems almost tolerable. It feels sporty even without the sports package. Even though the sports package moves it further up the performance ladder, the ride is a little too jarring for the road I drive on. An added bonus on this car is fuel frugality. I am already averaging 25.5 MPG over 1,300 miles (1/5 city and 4/5 highway driving). ","Interior and exterior design, LED daylight running light, lane change assist, keyless entry and start/stop"
4/29/2009,gmiles,"After months of study and countless test drives, I chose the Audi A4 quattro over the BMW 328xi and the new BMW 335d. As a previous BMW 3-series owner, I agonized over the decision. However, I cannot be happier. After owning it a few weeks, it has exceeded my high expectations. It is truly an incredible vehicle, with the perfect combination of all the options I was looking for. After initially considering the base (premium) model with the add-ons I wanted, I ultimately opted for the prestige model with all the toys. The icing on the cake is that I paid thousands less than a comparably equipped BMW with better mileage. ","Smooth and powerful 2.0 Turbo, quattro handling, awesome i-Pod connection with the MMI, back-up assist camera, keyless start-up, incredible stereo (Bang & Olufsen premium sound), LED headlights, lane change assist"
4/28/2009,MrMike,"I had previously owned an A4 (2000). I remembered the fun it brought, so I thought I'd give it another chance when I began my car search. I also tried all the usual suspects. This was simply the best bang for the buck. I went with the Premium package with AWD. You don't need anything more than that. I read many reviews by other readers and I agree with the positive vibe on this newly improved model.",The car is well balanced with AWD and the 2.0 engine gives great performance with very good gas mileage. The interior feels like a jet cockpit. The increased vehicle size was a great idea that was much needed.
4/28/2009,Just J,"I wanted a German sedan and test drove the big three. Hands down I was the most impressed with the Audi A4. I went with the 2.0T because it has more torque than the V6! Very responsive and I am getting over 30 MPG on the highway! The MMI interface was better than the other two systems. Hunted down a 2.0T in Black with a Prestige package. I wanted the 18"" rims and the Bang & Olufsen Stereo. The Audi's interior looks rich while the others' look cheaper. The rear seat room is much better in the Audi.",The Bang and Olufsen stereo is by far the best car stereo I have ever heard. The sound reproduction is awesome. Having the iPod interface as well as an SD card slot means all my music comes with me. The front end styling is unique and aggressive. The Smart key technology is cool.
4/28/2009,Derek,"This is my first Audi purchase after many years of Volkswagen ownership and so far I am loving every mile of it. I chose the Premium Plus and 18"" Sport packages. The seats are very comfortable and all controls are easy to use although I find using the MMI creates an extra step to do just about anything except adjust the radio volume. As typical for a German automobile, everything is placed logically. The steering wheel is weighted nicely but the paddles on the back of wheel are too small to make good use of them. I placed my order 10/08 and would have preferred a M/T but the timing just wouldn't work for me to wait that long. Other than that I can't really complain.","LED lights, 18"" wheels, seats, hands- free bluetooth phone, dash layout, steering wheel, overall shape of the car. "
4/27/2009,gfitzgerald,"My trade was a 2006 A3 sport that I had for 2.5 years. I liked it so much I wanted to see what else Audi had that was just a little bit larger, more comfortable yet just as much fun to drive. The A4 Avant Sport was it. Options I got: Premium Plus, Sport, Navigation, Rear Side Airbags. This car is unbelievable. The BMW 325xi wagon cost $8k more for the same equipment but had a cheaper interior and didn't drive as well. The Infiniti EX had sub-par interior quality although it drove great. However, I'm not going to apologize to my back seat passengers as they trip getting out of the car (small back seat and door opening if I'm buying a $44k car and I would have to do that with the EX).","Interior quality and ergonomics is the best - hands down. Exterior is subtle yet sporty. The MMI is very intuitive. Sport seats are awesome. The car drives great and is very responsive. Sport suspension gives a firm ride, but still very comfortable and luxurious. Open-sky sunroof is fantastic."
4/23/2009,Alex,"Living in the Snowbelt had a dilemma which car to pick. I was looking for manual and 4 wheel drive, turned out that there are not many options available. The instance when I sit- down into Audi, realized that I like this car after the test drive I felt in love with it; signed the contract hour later. If you are looking for great looking comfortable car which can pump the blood through your veins go with A4 manual ? BEST CAR on the market. ","Ergonomics, seats, gearbox, handling"
4/18/2009,Melissa,"I've had my A4 Premium Plus for about 6 months and I'm still completely in love with it. It is always so much fun to drive especially around turns on the parkway. Best car I've ever owned, my old Mercedes does not even compare to this car. It hasn't failed me yet. Not to mention, heads turn when I drive down the street, the car's gorgeous! ","The navigation/back up camera, the ""smiling"" lights, and just the way the car drives."
4/17/2009,sla-ny,"Previously owned two 6-cylinder Jaguar X-Types. The Audi A4 ride is fantastic; the 4-cylinder Quattro engine is very powerful. Tiptronic manual shift is fun (but dangerous-- must be careful to avoid speeding ticket)! This vehicle is beautiful, roomy, and hugs the road. Because it's low to the ground you have to be careful when parking, so the front end isn't damaged by concrete barriers.",Impressive new design! Love the new ignition key system. Smooth ride; speed and performance are great; good- looking wheels are standard. Great sound system with 6 disc in-dash CD player. Interior heats up fast in cold weather.
4/12/2009,Rohit,"Looked at the Infiniti G37 and BMW 3 series before settling on the Audi A4. Owned an A6 over 10 years ago, and wasn't sure if we we'd buy another Audi, but the A4 has bested all my expectations in the little time I've had it. Didn't need AWD as we have a SUV at home, so I got the FWD with Sport package in Premium Plus trim. Car drives beautifully, hugs the road esp on turns, sounds great, and the LEDs turn heads for sure. The MMI is very easy to learn and the AMI and Bluetooth work like a breeze. The extended length also comes in handy. The next few years will tell me how much they've improved the Reliability but so far so good.","Lights - Xenon and LEDs, Sports package - wheels, seats and paddle shifting gears, Bluetooth/AMI/Media connectivity, Design in general is A+, Driveability. "
4/2/2009,big kev,"We've got the diesels and I bought one 3 weeks ago and traded my 2007 BMW 328i. It looks great, the interior is beautiful and the ride is nice and comfortable without being too 'sloppy'. The BMW was my first and last - the ride was horrible. This is as powerful, the auto changes cannot be felt, even in sport mode unless you really look for it - I'm old and like smooth! There is no perfection but this car is excellent in every way. The diesel engine does clatter but you can't really hear it from inside except when you accelerate and then it's only a bit of noise - like noisy tappets on an old car. Great.","Interior, ride, and fuel economy - diesel 40mpg city driving! price and build, turbo acceleration and torque. Plant your foot and hold on. Electronic park brake."
3/14/2009,huntm2000,"I am a 7-time BMW owner and was hesitant to compare the new Audi A4 to a 2009 BMW 3 series, but was surprisingly pleased with the build quality, performance, and amenities you get in the Premium Plus package and decided to go with a new 2009 A4 vs the BMW 328xi. I have only owned my new Audi A4 for a few days now, but am very pleased with the build quality, ride, and performance of this car. Anyone is the premium sport sedan market should take a serious look at the A4 before making a decision. ","Ipod integration, S mode on the transmission, AWD, fuel economy, Xenon headlights, bluetooth. 2.0T Turbo 211HP/258ft-lb torque. "
3/12/2009,KarlS,"...A4, previously owned 2007 2.0T Q sport/Sline/Ti. Current car (2.0TQ prem+ w/sport pkg) is what I was hoping for when I 1st purchased an Audi, slightly better performance than before, much better handling, much improved seats (highly recommend sport pkg option). Feels like an adult's vehicle. Complaints: only re plastic dash piece (hope for aftermarket cure soon) & wish it still had a full size spare - minor stuff really. Very anxious to see how this is chipped, 2007 was a big difference, 2009 promises to be better. Bottom line, I love driving this car... so does my wife.","Sport seats, paddle shifters, gas mileage, modding potential."
3/10/2009,Medfather,"After owning BMW's and Mercedes (2 lemons in a row), this is my 1st Audi. It is awesome! Very comfortable, wonderful variable steering, great electronics. I am impressed by the 4 cylinder turbo; quick acceleration, especially when down shift to the ""S"" mode (passed 5 cars on 2 lane country road-WOW!). We take it on the Interstate every weekend while our BMW 330 sits in the garage. Gas mileage is 24 around town and 27-30 on highway, depending on how I drive. The 2009 A-4 surpasses my expectations. ",Great comfort and steering. Steering tightens up the faster you go. Wonderful sound system. Spacious interior. Car is quiet at high at 90mph!
3/8/2009,pj,"I bought this car as a gift for my wife, a blue quattro convertible. For once I hit an out of the park home run. She loves this car and I do too. Its fun to drive, beautiful on the inside and outside, and gives us no trouble at all. ","Easy to work convertible top, great seats and seat warmers. This car is fun to drive and has great traction."
2/27/2009,Boston,"I've had the car for about 5000 miles so far, and probably would not buy it again. There's much I truly love about the car but the commuting ride quality on worn roads is very harsh, especially here in New England roads where the car is useful in snow. Since delivery car has real vibration 70 - 80 MPH. I've seen others talk about this, and dealer has not resolved. I plan to take it to an independent tire spot. Speedometer seemed high, and reads about 4-5% higher than actual speed when calibrated with GPS. 77 MPH shows as 80 or 81. Racking up extra miles if you leased! Car is good from stop lights, but 2.0T feels underpowered with highway onramps, etc. Requires ""S"" mode and a heavy foot.","Sticks like glue to the road, and is simply stunning to drive in snow. I have driven nothing better. Striking, handsome exterior and modern, sharp interior. MMI with iPod integration is fantastic, but no Genius. Flawless Bluetooth performance. Climate control never needs adjusting, and is very quiet."
2/27/2009,JC,"I like almost everything about my new Audi A4. The one negative thing is that the rims get dirty every time I drive it, even if its around the corner. Someone mentioned that it might be the brakes. ",
2/18/2009,rollwaveroll,"I swapped a Tundra pickup for this wagon and love the car. Best combination of size, performance, and practicality on the market. Wonderful handling and when the turbo kicks in, breathtaking acceleration. Lots of features and techno gadgets even in the base model. As can be expected from Audi, top notch interior build although the gray metallic plastic around the instrument panel seems cheesy, why didn't they just use the aluminum trim like in the rest of the car. The radio controls take some getting used to and the steering wheel audio controls frustratingly don't let you scroll among preset stations only. This car is a looker and gets lots of attention, a top choice among wagons!","Turbo acceleration, Quattro handling, interior build, full of features, great looking car, highway mileage 27mpg at 80mpg, roomy enough for 2 car seats and a stroller, great looking car and not many of them on the road so you get lots of attention, reversible cloth/plastic cargo floor a nice touch"
2/16/2009,John,"Original post- 09/28/08 Car remains a blast to drive- stereo remains a favorite, bi-xenon lights are worth extra money. Significant difference in driving in S mode and super fun on twisting roads. Car handles fantastic in winter (installed winter tires & with all wheel drive - go anywhere as along as snow drifts aren't too high) Car is low - watch out for curbs & cement stops in parking places! Overall am very pleased with purchase after 4 1/2 months driving - you still want to go out just for the heck of it! What could be better - more horsepower (?), ride over bumps could be a bit smoother (but then you'd lose the sports car feel). Just a great car! ","Lights, stereo, transmission, Bluetooth, intuitive to drive, quickness, looks of car, FUN!"
2/13/2009,Craig,"I got the A4 with Premium Plus, Nav and the Sport Package in Quartz Grey four months ago. The styling of the A5 caught my attention and when Audi applied it to the A4, it when to the top of my list. Beautiful interior with Aluminum Trim (not cheap plastic like my Chrysler) with plenty of leg room all around and the layout is excellent. The Engine has plenty of power and the brakes are amazing. The ride is a little stiff with the Sport Package and 18"" low-profile summer tires, but it tracks around corners fast and flat. Sport seats hold you in place and are comfortable on long trips. Safest car I've ever owned. Thanks to Edmunds for supplying loads of info towards my purchase. ","No. 1 is styling. Paddle shifters, AWD handling, LED running lights that turn heads, Xenon headlights and the stereo are great. Light steering at low speeds."
2/13/2009,Li7,"I love this car, and it has been great. At 1200 miles it feels like a dream to drive... no issues. I get plenty of compliments and makes me feel happy to drive it. The engine has good giddy up in the low-speed range. Once you're higher up, engine feels like it struggles to move up, nevertheless it's fast enough for me unless you're looking for a speeding ticket.","Love the leather sport seats, the interior and the quality of the materials."
2/8/2009,Wdan,Went from an '06 A4 2.0 Quattro to this. This is the '06 all grown up. The ride is tremendous and smooth. Very quiet in the cab which is great for blue-tooth calls. Handling is superb. Handles even better over 90 as all German cars should. Excellent off the line. Sport mode is stellar with the v6. Light package makes you feel like a rock star as you turn heads. ,"Handling, smooth ride, light package, sound system, interior is beautiful, front exterior is awesome, acceleration is excellent."
2/6/2009,Nickkkkkkkkk,"In January I traded in my 2006 BMW 530i in for the 2009 Audi A4. It seems like it should compete with the 5, because of its roominess and standard features. This car is the perfect size and it's more fun to drive than my BMW. Great value. I love my Audi!","MMS Stereo System, AUX, and Quattro, 60/40 Rear Seats"
1/29/2009,scriptx,"I love the car, it is quiet, low road noise. But, it burns oil. At 600 miles I have had to put in a half quart already. Furthermore, you would think for a car that burns so much oil, it would come with a dipstick, but, it does not. I wish I would have researched problems like this before buying. I do regret my decision now, oh, and for Audi, the current oil consumption is within their limits so, I drive with oil in my trunk at all times.","Quiet ride, MMI"
1/26/2009,PaigeLGOIT,"In the three years leading up to this car, I drove a Saab 9-3. And I admittedly enjoyed the car. But after driving the Audi A4, I can't imagine ever going back to another manufacturer. The handling is tight, the speed is quick and the ride is firm without being hard.","Handling (car doesn't lean on turns) and pep (gets out of the gate without a single lag) and comfort (for it's class - I looked at the C-Class, 3-Series, 9-3 and G35x and this interior competes solidly with the other brands)."
1/19/2009,RipLip,"Love this car. It's fun to drive and has character. It may not be the fastest in its class, but it is fast enough. The interior design is excellent and the interior space is much more roomier than the older A4s. Personally, I think the exterior design is nicer than the 3 series and C class.","Interior (especially the iPod interface). Exterior design, like the jewel day lights"
1/15/2009,NJLawyer,"After two Corvettes, I decided I needed something more practical but still fun to drive. The Infiniti G37X was a little too small and too stiff and the 328xi a little too expensive. The A4 was just right. It handles well and accelerates nicely with the turbo 4. I don't think the V6 adds much more. It holds 4 people comfortably. I wouldn't go for 5 unless 3 are very small. The trunk is huge. The interior is handsome and the sound system is fine. This is my first experience with BlueTooth and its much better than OnStar.",Four wheel drive. We have had five snow storms since I bought the car in November and have had no problem getting around. The brakes are first rate.
1/9/2009,iceboynyc,"I just got the A4 AWD 2.0T AT White w/ Black interior Premium Plus with the custom OEM Audi Sport 18"" rims on all seasons and added the chrome tips. Changing the wheels and tips turns this car into a whole entire different animal. The ride is 100% better than my last sedan 2007 G35 AWD. This sedan is a much better value than the BMW AWD 3 series and the Benz C AWD. I love the ride and now I think I will be an Audi fan for a long time!!",The LED head lights make people stare at you like your driving a 100k car! Big space ship design compared to cars in its class. The TRUE AWD handling! The new body style turns it into a thing of beauty as opposed to last years design that didn?t even hold my attention for 2 seconds.
1/7/2009,eddyk,"Ever since I saw the R8 commercials on the Superbowl, I've been following Audi more closely. I'm glad I did. I own the new 2009 Audi, and I've been so impressed with it. Watch out for this car. It accelerates 0-60 a full second faster than the previous Audi A4's. The LED lights are so cool. The braking is amazing. People stop dead in their tracks and look at it. Put this thing in S mode and drive down a windy road. The car grips the road, and it's substantially different than in D, it's not some gimmick. ","Acceleration, handling, braking. "
1/6/2009,Bobby and Beth Ann,"Being stationed in Europe, I have had the privilege to drive on the infamous Autobahn. I truly believe that Audi is the best German automobile. I have owned three, TT, A6 and now the new A4, all quattros. This new generation Audi is over the top. I bought this car for my wife as an anniversary present. We took a trip together and this car feels, looks, smells, sounds and handles just like a German automobile should. The B & O sound system is the best sound system I have ever heard. Our car comes fully equipped with the exception for navigation and suspension control. The days of notoriety of owning a MB or BMW are over. I always thought they were overrated. ",The sound system is incredible. Daytime running lights. Interior and the layout of the instrument cluster. All safety features that make this car safe. Keyless entry. The looks we get when we are in it.
1/5/2009,Stefan,"I just bought the '09 A4 Avant with Prestige package, Navigation, 19"" Sports package and Drive Select. After about 1200 miles I must say that this is by far the best and most fun car I ever owned. The technology is cutting edge, the interior is on par with any recent Porsche (and much better than its direct competitors) and the performance is much better than the previous generation A4. The new A4 has dethroned the BMW as the true ultimate driving machine. As a previous A4 owner, I am pleased that Audi addressed all design flaws from the B7 models. It now boosts stronger hinges on arm rests, cup holders closer to the center of gravity etc","LED (turns a lot of heads), side assist system, quality feel of interior"
12/31/2008,EmmasDaddy,"After drooling over it since it came out I finally picked up the 2.0 Turbo with the Premium Plus package in brilliant red with tan interior. This car is awesome! The turbo has excellent giddy-up, and the extra foot lbs. of Torque give this car plenty of pop of the line and set it apart from any other seday in its class. The Audi MMI can be challenging at 1st, but once you get the hang of it is very easy to use. I love the ipod integration (a must for me) and the bluetooth phone feature that downloads your phone book. The new body style provides plenty of room in the back for my 3 year old daughter. I had an MDX, and I now love to drive again! ps. The LED's are poppin'! ","Ipod interface, bluetooth phone, LED's, MMI, Quattro AWD."
12/22/2008,Justin,"This is a fantastic vehicle! I test drove numerous vehicles before purchasing the Audi A4 including the Lexus IS250, BMW 328xi, Mercedes-Benz C300 4MATIC, and the Acura TL. The A4 was the best vehicle hands down. The handling of this vehicle on wet and dry roads is excellent. I feel like I'm riding on rails even in the snow. The interior is beautiful and made with high quality materials. Every button and every dial feels great to the touch. The back seat has enough room for even your biggest family members. The trunk is enormous for a 4-door sedan. This vehicle is extremely quick for a 4-cylinder turbo. The back-up camera is unlike any other you've ever seen! LED lights turn heads! ","The Bang & Olufsen sound system is the best sound system I've ever heard in a vehicle! Bluetooth, Navigation, Back- up camera, LED daytime running lights, 18"" wheels and ipod integration are also very cool."
12/18/2008,jfinsure,"My 550i lease just expired and I wanted to downsize the car but not the features. The A4 2.0 with Prestige seemed like just the answer. I have never heard a better car stereo than the B&O system that comes with the Prestige package. The daytime LED's are very cool and this design really hit the target! I was also used to keyless go so this option is now a must have for me. Finally, the side alert is a great feature and my mirrors tell me if someone is in my blind spot with a flashing light. Except for power I actually like this car a lot more than my 550i.","Gas mileage, B&O stereo, Works seamlessly with my iphone, side alert, mmi, daytime led's, back up camera."
11/28/2008,Bob409,The new Audi A4 is perhaps the best of what Audi has produced. The German definition of engineering continues to be distinct with safety first and foremost. This car is fun to drive and I expect Audi to improve on its interior functionality in the next few years. For us larger drivers a better designed front seat would be appreciated. No doubt the quattro all wheel drive system ranks at the top in winter weather. If you are comparing models this is one you have to try.,Handling and quattro all wheel drive system.
11/27/2008,Carson,"I love to drive this car. It's the Prestige with nav and drive select. The handling is unbelievable, combined with a truly solid ride and plenty of power. I was concerned at first whether the car would have sufficient power for my lead foot, but it certainly does, especially in sport mode. You just need to punch it -- with a turbo, one needs to use more pedal than with a non-turbo 6 cyl. The gadgets are wonderful: Nav, bluetooth, Sirius radio, backup parking beeper and camera. The Bang & Olufsen sound system is fabulous, worth the extra. I took the car on a 3000 mile trip. One barely notices getting to high speed, very solid, esp. with dynamic mode. Radar detector needed!","Drive Select-distinct softening in comfort mode, nice for town. Dynamic really tightens up the handling. Sweet on Mulholland Drive with all the other yahoos in their BMW's and Porsches. Sirius-24 hour Grateful Dead and Chill channels. Parking sensor and camera--handy running lights-wife digs em! "
11/25/2008,Frank,"This is an update from my previous review. We got some snow here and I was able to test Quattro system much more than on wet pavement. I confirm that without ASR, handling is exceeding my expectation! I feared that the electronic would limit my fun, but I'm very pleased by the latitude granted by my A4. And with ASR, I know my wife will not be in trouble when driving in the snow. Also, I got my Ipod cable and can confirm that Ipod integration is flawless. I use playlist and store over 350 CDs on my Ipod. Can navigate with ease and of course, sound quality it excellent. The only one thing that disappointed me a bit is the non SDHC support for SD cards which limits capacity to 2GB","Quattro, B&O, fun to drive"
11/24/2008,Dave,"I purchased the A4 with the Prestige package, awesome car. Handles great and has much better performance than previous A4s. The only complaint, automatic transmission seems to shift too early in the lower gears and sometimes feels like it can't make up its mind between 1st and 2nd gear.",Everyone knows you're coming with the LED lights! Bang & Olefsen sound system is superb.
11/18/2008,tom,"Purchased my first Audi vehicle two weeks ago and found a terrific car. I have owned Porsches, Mercedes, VW Passat, VW GTI and all that German design and tecnogolgy finally led me to this beautifully appointed sport sedan. Great looking exterior plus a finely finished interior. Everything about the driver's cockpit is wonderfully situated, easy to reach knobs and dials. Beautifully lit at night. Bang & Olufsen stereo blows all other audio systems away. A great option included in the prestige package along with keyless entry, push button start, stop. Side assist, rear alert. Automatic rain sensor and headlights. I picked the color meteor gray which kinda looks either dark blue or black ","Neat LED daytime running lights, B&O stereo. Overall styling and great gas mileage with 2.0 turbo"
11/15/2008,CAroaddriver,"Bought the A4 2.0T Quattro with the premium plus package. Great exterior styling, good interior, good fit/finish, almost great handling. This car is quicker and better handing than the '99 A6 3.2 I sold. The low-end torque makes it responsive in commute driving, loads of fun in the hills. Getting an honest 30+ mpg on the highway. The trunk is roomy, and the split fold-down rear seat ads versatility some of the other sports sedans lack. The LED daytime running lights turn heads.","Engine performance and exterior styling are great. The Bluetooth cell phone link is a good feature, and the Infotainment system is easy to operate."
11/6/2008,Firecracker,"I got the premium plus package with navigation. I've had the car for a few weeks and absolutely love it! The symphony style LED headlights are my favorite, everyone notices them. The 2.0T engine has plenty of power, I wouldn't want the 3.2L. Audi has done it again!","LED headlights, navigation, new sportier exterior styling"
10/29/2008,snagitseven,"Mine, ordered in May, was in the very first shipment. Compared to my twin turbo 2001 A6, it's a only a bit smaller in the rear seat but very close in the front with more headroom and a larger trunk. While a bit slower of the line to 30, it is faster to 60 than my old twin turbo A6 and definitely a better handler. Have 3000 miles already and just got back from a 1500 mile trip. Very comfortable despite a somewhat stiffer seat than the A6. Overall, very pleased.","Handling, braking, MMI and the incredible B&O audio system. Looks great. The daytime friving LEDs are a really nice touch - gets lots of looks. Love the smoothness and sound of the 3.2 V6 and willing to trade a few mpg."
10/20/2008,Melissa,"I have the premium plus pkg with nav. This is the best car I've ever had. Easy to drive and so much fun. Handles turns extremely well at fast speeds. The gas mileage is pretty good, getting 22ish city. I love the ""smiling"" lights and how they look during the day and at night. I've never felt so safe and comfortable in a car.",The navigation/back up camera and overall design of the car.
10/20/2008,MrJimmy,"Great car for the money. Just bought this car for my wife, looked at BMW X6 - seats only 4? 3 series SUV I wasn't impressed with, I drive a 335i and we needed a winter car. Front end, very aggressive styling and they did a better job with the back end too. Enough for 5 people, dogs and luggage.","LED lights under headlights, very nice styling."
10/19/2008,PyroFire3546,"I bought the A4 Premium Plus about 2 weeks ago, and all I have to say is that it is absolutely amazing. I had looked at BMW, Mercedes, and Lexus, and this car defiintely blows them all away. End of story. The handling could not get any better; it is even better than the 2008 Audi A4. The steering is very precise and adapts to how fast or slow you are going. The ride is quiet and smooth, making it a very comfortable car. I could see myself sticking with Audis in the future. Even though the price can be high for some buyers, all I have to say is take a test drive and you will see that you get what you pay for. The car is amazing. I would not change a thing.","Backup camera/sensors, MMI, Nav, bluetooth, steering, iPod interface"
10/15/2008,SmokEater,"I purchased my 2009 A4 Quattro with Premium Plus less then one month ago and I simply can't stop driving this vehicle. It's fun to drive. Turns heads (Daytime Running lights). Simply looks great! Awesome build quality. That is just the start of the reason I love this vehicle. As usual the folks from Audi have done an outstanding job of designing and building this vehicle. The tolerances are very tight, the materials are high quality, and overall design theme is stunning. I've never really been excited about a vehicle until this car!","The Audi Music Interface works great, the Ipod integration is fantastic as is the bluetooth connectivity for cell phones. I love how my contacts are downloaded right into the vehicle so I can easily dial without ever lifting my hands from the wheel. My favorite feature? All of it!"
10/13/2008,selectfpr,"I have owned various BMW's & Audi's over the past 15 years, and this seems to be one of my favorites. I just ended an X3 lease and was considering the 328xi wagon or the A4 Avant. To my surprise, I chose the Avant with the Premium Plus Package, because they really made a lot of advancements since my 2004 Audi. Until BMW redesigns the 328, the Audi 2.0 I think is a much better car. It handles great, it's feels much quicker than the 328, and the interior and exterior design (at least on the Avant) is a real winner. So far, I think it's a no brainer.","The MMI is very cool. The 2.0 is much better than I thought it would be. Handling is very crisp. I can really throw it through turns. Seats are very comfortable. Seems to get pretty good gas mileage. Finally, being a wagon, there's lots of cargo space. Why would anybody choose an SUV"
10/10/2008,Ammo,"I picked it up 2 weeks ago in Aruba Blue. Love the car and the color. I test drove several cars before decided on A4. You can't compare beautiful interior & exterior designing with any other car in its class. When turbo kicks in you feel you are drving on the race track not on a highway. Love the MMI, bluetooth and iPod features. I love it.","Great pick up, awesome interior, great sound system & MMI."
10/2/2008,David,"Had this car for three weeks and I have nothing but good things too say about it. Stylish exterior with just as beautiful interior. Acceleration and power feel much better than when I tested the 2009 TSX which is also a four-banger but not quite as responsive as the other competitors that have a V6. Safety is pretty much on par with everyone else as well but Quattro is a big plus since that's the only real fulltime AWD in its class. I like that automatic not only has a manual shift mode, but also a sport autoshift that lets the car stay in lower gears longer for more power. All in all a real eye-catcher inside and out that gets decent MPG for an AWD and has just enough zip to have fun.","All new styling and increased HP, torque, MPG, and room than the old model. Trunk also big enough to fit my golf clubs and much much more."
9/29/2008,Mobilehavoc,"I've had the car for 3 weeks and 600 miles of driving so far. I got the Premium Plus trim with Navigation and I'm really loving the car. It has the exterior looks, interior styling/finish and performance that make it the true triple-threat. For a V4 turbo, it delivers a consistent torque through the RPM range making it a pure joy to drive coupled with the excellent all- time quattro AWD. The interior is Audi at it's best with an excellent MMI system - for all intents and purposes is the same interior of the more expensive A6/Q7 models. Everything is designed to make the driver's job as effortless and enjoyable as possible and I have no regrets whatsoever in purchasing this car. Recommended","Performance of 2.0T engine is excellent while still giving great gas mileage. Interior styling, finish and technology is same as more expensive A6/Q7 model. The LED DRLs are unique and attention grabbing, add personal flair to the car. Rain sensing wipers/auto headlights make effortless driving"
9/28/2008,John,"Just purchased the new A4- significant improvements over previous generation. Tested Mercedes C class, BMW 3 series, Infinti G35, Lexus IS before deciding on Audi. Vehicle has premium pckg, Technology pckg, B&O stereo system. All options worth the extra cost- stereo is wonderful, MMI much easier and intuitive than BMW, steering is very crisp, engine is very good, transmission very smooth, shifting in manual mode is great! As expected, interior is best in class and extra length to car has resulted in much better back seat space than previous versions- tall people will still find back a bit cramped though. Save money + stay with base engine- turbo is great!","Engine, transmission, steering, brakes are all great. Stereo is awesome- car looks great (white/black) and new headlights work and look great! Seats are comfortable as well"
